Reynolds_Number,Drag_Coefficient
10.0,4.355630110572513
13.877551020408163,3.460506505353963
17.755102040816325,2.900134180302346
21.632653061224488,2.5199688039941974
25.51020408163265,2.2598910817298843
29.387755102040817,2.102958951477515
33.265306122448976,2.012105407943359
37.14285714285714,1.940154681029493
41.0204081632653,1.8093546321531224
44.89795918367347,1.739428350332866
48.775510204081634,1.640879805655225
52.6530612244898,1.5845280687904062
56.53061224489796,1.4849506194595086
60.40816326530612,1.4223182514442643
64.28571428571428,1.4558729220423865
68.16326530612244,1.4049330679406857
72.0408163265306,1.4163454835097153
75.91836734693878,1.2617401612719816
79.79591836734694,1.3133341142025012
83.6734693877551,1.2986512363357232
87.55102040816327,1.2282446345768252
91.42857142857143,1.322110847704547
95.3061224489796,1.237203546810359
99.18367346938776,1.1464092760478994
103.06122448979592,1.152154732091547
106.93877551020408,1.0834468994330269
110.81632653061224,1.1979224553562857
114.6938775510204,1.2297615234048036
118.57142857142857,0.9879052585182859
122.44897959183673,1.0461676993264977
126.3265306122449,1.0107443005890324
130.20408163265307,1.1719934680179622
134.0816326530612,1.0170822579154624
137.9591836734694,1.0565422838737615
141.83673469387756,1.0235357779037833
145.71428571428572,1.0542611166993539
149.59183673469389,1.0804421666788697
153.46938775510205,0.9175082598747938
157.3469387755102,0.9728026272045113
161.22448979591837,0.9711905399471101
165.10204081632654,1.0617414445850417
168.9795918367347,0.8521534600626721
172.85714285714286,1.0747512985607344
176.73469387755102,0.8567881283964539
180.6122448979592,0.9808324963868421
184.48979591836735,0.9339285168497721
188.3673469387755,0.9480718651715554
192.24489795918367,0.9497015038811699
196.12244897959184,0.9669466240186664
200.0,0.8607817253222456
